"id","gender","age","height","weight"
22974,"M",28,183,102
22978,"M",29,191,85
23040,"M",22,196,88
23050,"M",26,165,71
23092,"F",23,162,54
23140,"F",19,173,54
23149,"M",26,173,64
23160,"M",28,190,81
23289,"F",35,173,60
23296,"F",33,170,63
23303,"F",27,180,69
23314,"F",31,178,63
23330,"F",29,172,64
23331,"M",24,201,95
23504,"F",36,161,55
23511,"M",31,180,74
23519,"F",28,176,69
23549,"F",32,176,64
23573,"M",25,181,65
23579,"F",21,168,61
23641,"F",23,185,93
23707,"F",30,175,68
23721,"F",25,180,67
23731,"M",27,176,70
23765,"M",27,170,60
23772,"F",17,159,52
23792,"F",16,164,49
23794,"F",22,178,112
23874,"M",22,186,79
23972,"M",20,187,84
23974,"M",23,201,125
23975,"M",24,198,105
23984,"M",24,183,81
24093,"M",30,188,83
24103,"M",24,172,54
24206,"M",27,183,80
24213,"M",29,182,62
24214,"M",29,180,63
24243,"F",28,175,62
24280,"M",32,200,82
24317,"F",24,165,66
24339,"M",25,175,73
24344,"F",18,185,56
24403,"M",26,173,66
24470,"M",28,188,82
24523,"F",27,166,56
24551,"M",27,193,78
24579,"M",23,191,78
24584,"F",24,160,50
24621,"M",21,194,85
24673,"F",28,180,60
24680,"F",35,166,52
24705,"M",28,182,80
24733,"M",35,173,60
24742,"M",24,193,80
24760,"M",23,NULL,NULL
24784,"M",22,191,104
24792,"M",20,183,79
24793,"F",22,179,65
24849,"M",23,193,86
24872,"F",32,180,110
24887,"F",20,162,52
24896,"M",29,205,124
24899,"F",35,164,54
25040,"M",24,168,67
25075,"M",27,170,58
25119,"M",32,180,72
25160,"F",33,165,50
25181,"M",22,185,82
25192,"F",25,153,68
25256,"M",22,182,78
25300,"M",18,161,78
25308,"F",26,176,73
25394,"M",26,177,60
25397,"M",22,185,79
25431,"M",28,187,88
25434,"F",13,183,60
25442,"F",28,165,62
25460,"M",20,NULL,NULL
25509,"F",41,162,43
25520,"M",23,172,64
25521,"F",33,171,60
25530,"F",25,171,62
25575,"M",31,175,69
25620,"F",25,175,64
25663,"F",33,155,43
25746,"M",23,162,55
25807,"F",29,168,51
25852,"M",23,170,73
25891,"M",22,177,69
25906,"M",29,182,85
26013,"F",26,156,50
26073,"M",25,175,70
26078,"M",20,183,71
26135,"M",21,176,70
26254,"F",24,161,53
26258,"M",25,173,76
26367,"F",23,176,65
26369,"F",29,174,65
26384,"M",32,172,65
26396,"M",35,188,70
26399,"M",26,193,96
26400,"F",19,167,63
26428,"F",26,164,56
26442,"F",24,175,65
26473,"F",25,178,97
26498,"M",23,171,61
26499,"M",26,180,70
26510,"M",24,190,87
26512,"M",30,185,95
26530,"F",27,163,55
26651,"F",31,168,55
26690,"F",20,165,49
26795,"F",20,173,61
26796,"F",23,175,60
26873,"F",22,170,65
26875,"F",24,169,56
26969,"F",31,164,46
26979,"M",36,184,89
27048,"M",29,186,81
27062,"F",43,159,46
27081,"F",30,183,67
27093,"M",25,190,85
27104,"M",20,163,62
27131,"F",20,168,56
27136,"M",22,188,112
27380,"F",30,166,58
27450,"M",22,167,48
27488,"F",26,180,58
27520,"M",20,176,75
27572,"M",24,163,58
27643,"M",20,195,118
27699,"F",20,181,110
27714,"F",15,155,46
27720,"F",23,170,50
27753,"F",22,167,75
27757,"F",16,165,46
27762,"M",36,188,80
27768,"M",22,180,67
27842,"M",21,189,72
27872,"M",22,175,67
27897,"M",21,184,79
27911,"M",25,170,65
28016,"F",17,164,58
28026,"M",26,183,63
28039,"M",19,177,64
28062,"M",41,174,67
28077,"M",26,185,75
28101,"F",23,165,57
28109,"M",47,183,82
28120,"M",31,180,70
28143,"F",20,169,49
28171,"F",25,173,58
28191,"F",17,165,55
28225,"F",33,163,55
28266,"M",36,168,67
28311,"F",25,168,52
28312,"F",26,156,45
28313,"F",31,166,50
28336,"F",19,153,47
28371,"F",17,160,50
28430,"M",23,182,82
28503,"F",22,163,58
28538,"M",27,188,82
28569,"M",26,189,82
28574,"M",19,179,72
28600,"M",29,175,77
28667,"M",22,184,93
28676,"M",38,185,66
28734,"F",23,175,65
28744,"F",25,168,49
28762,"F",29,170,69
28763,"M",26,186,81
28814,"F",37,155,43
28917,"M",30,180,67
28924,"M",19,175,68
28937,"M",27,174,73
28958,"M",22,187,75
29069,"M",28,180,72
29110,"M",18,180,73
29113,"M",26,183,62
29139,"M",29,178,72
29183,"M",40,175,68
29222,"F",32,162,51
29254,"M",33,187,100
29305,"F",27,168,58
29336,"M",39,189,83
29366,"M",27,180,74
29372,"M",29,170,55
29374,"F",17,170,62
29383,"F",26,173,95
29453,"M",26,188,85
29457,"M",24,183,69
29493,"F",27,168,55
29497,"M",27,172,74
29546,"M",22,172,67
29555,"M",25,170,59
29590,"M",38,174,58
29591,"F",38,158,46
29595,"M",25,181,70
29604,"M",20,185,74
29610,"M",36,171,60
29638,"F",27,170,60
29644,"M",26,192,80
29648,"M",23,176,70
29668,"F",17,NULL,NULL
29686,"F",20,157,50
29737,"M",29,181,78
29754,"M",21,NULL,NULL
29775,"F",26,178,65
29788,"F",24,156,55
29789,"F",17,162,60
29813,"F",24,175,65
29858,"M",27,184,73
29890,"M",35,163,64
29898,"F",21,180,57
29914,"F",24,169,67
29933,"F",38,170,62
29939,"M",33,180,74
29948,"F",35,173,58
29962,"M",23,195,88
29974,"F",27,170,59
29989,"M",19,191,86
30097,"M",26,196,83
30138,"M",18,173,63
30141,"M",28,184,113
30144,"F",36,160,46
30228,"M",24,180,73
30242,"F",28,171,63
30268,"F",26,180,76
30269,"M",21,191,NULL
30305,"F",21,174,72
30336,"F",39,167,54
30357,"F",27,177,100
30379,"M",26,184,85
30482,"M",28,202,105
30644,"M",25,182,70
30660,"F",27,170,64
30661,"M",23,195,79
30717,"M",22,175,55
30788,"M",20,193,80
30802,"M",28,185,83
30851,"M",26,177,63
30873,"F",28,174,56
30894,"M",22,176,74
30902,"F",24,170,61
30948,"M",30,178,71
31012,"M",27,196,89
31054,"F",31,160,47
31127,"F",23,166,66
31205,"M",28,186,81
31266,"F",30,164,68
31330,"F",23,157,55
31342,"F",23,163,59
31354,"M",22,165,57
31391,"M",30,186,79
31452,"M",22,171,60
31468,"M",26,181,76
31629,"M",27,171,72
31634,"M",23,172,59
31769,"M",23,181,72
31885,"F",23,170,59
31902,"M",32,171,61
31915,"M",21,194,93
31936,"M",20,188,62
32000,"M",23,187,64
32020,"M",23,170,56
32033,"M",28,188,70
32039,"M",22,183,77
32093,"M",31,171,72
32160,"M",21,185,105
32168,"F",18,NULL,NULL
32204,"F",25,162,50
32211,"F",26,180,64
32239,"M",26,198,130
32328,"M",30,179,81
32357,"M",23,191,85
32382,"F",23,183,65
32407,"F",22,179,73
32496,"M",39,202,165
32506,"F",24,170,59
32554,"M",25,177,71
32679,"M",23,187,76
32707,"F",20,158,42
32710,"F",30,165,57
32747,"M",27,170,63
32779,"F",25,175,66
32786,"M",22,180,73
32793,"M",26,182,78
32833,"F",28,164,53
32852,"F",26,172,55
32865,"M",25,184,80
32886,"M",34,175,60
32942,"F",23,165,65
32990,"F",27,163,47
33027,"M",21,181,74
33079,"M",35,191,80
33089,"M",23,180,64
33120,"F",25,156,50
33151,"F",26,164,51
33183,"M",37,168,59
33231,"F",31,170,80
33253,"F",19,NULL,NULL
33288,"M",24,183,65
33311,"M",34,NULL,NULL
33323,"M",26,173,61
33359,"M",32,185,73
33377,"M",25,183,67
33426,"M",25,198,114
33431,"F",25,175,65
33450,"F",19,180,66
33504,"F",26,169,54
33537,"M",32,183,76
33575,"F",20,170,54
33607,"M",32,174,62
33617,"M",21,190,95
33650,"F",28,170,62
33657,"F",23,173,58
33686,"F",31,162,53
33812,"M",22,175,78
33814,"F",27,167,58
33827,"M",27,186,126
33832,"M",26,181,80
33842,"M",20,185,83
33918,"F",23,162,NULL
33952,"F",16,148,37
33957,"M",32,170,58
33959,"F",28,164,69
33960,"F",27,164,65
33997,"F",18,163,57
34012,"M",33,175,58
34048,"M",19,179,67
34056,"F",24,156,51
34086,"M",21,178,75
34124,"M",34,187,98
34153,"M",25,179,63
34185,"F",20,155,50
34260,"F",23,165,68
34341,"M",28,183,93
34389,"M",35,168,58
34427,"F",25,168,54
34464,"F",24,170,69
34467,"M",26,196,98
34551,"F",30,168,56
34552,"F",23,170,57
34555,"F",33,166,53
34559,"M",28,182,76
34605,"F",22,184,95
34637,"F",24,166,64
34707,"F",26,171,57
34719,"F",25,167,63
34727,"F",21,160,50
34833,"M",28,190,100
34878,"M",23,186,78
34889,"M",27,NULL,NULL
34928,"F",30,180,65
34955,"F",25,146,45
35064,"M",35,194,83
35083,"F",30,170,55
35111,"M",26,172,85
35132,"F",21,164,55
35213,"M",27,173,68
35293,"M",34,177,70
35296,"M",27,193,80
35303,"M",21,173,69
35330,"M",37,182,74
35332,"M",37,182,72
35338,"M",29,187,74
35361,"M",31,175,82
35426,"M",25,203,158
35430,"F",26,152,51
35446,"F",27,169,94
35473,"F",22,NULL,NULL
35520,"F",26,192,98
35533,"M",32,173,66
35571,"M",24,NULL,NULL
35592,"F",27,170,52
35721,"F",35,166,47
35738,"F",31,173,62
35815,"M",25,184,79
35839,"F",22,168,52
35883,"M",33,180,74
35897,"F",24,163,50
35936,"M",34,180,64
35965,"M",30,183,64
36005,"F",27,175,70
36046,"M",33,169,57
36048,"F",34,178,75
36063,"M",21,190,84
36091,"F",19,170,55
36174,"F",27,170,60
36184,"M",26,186,80
36204,"M",25,188,80
